seed,family,label,temperature,J,Gamma,mse,mae,psnr_db
11,local_only,"local_only: J=0, Gamma=0",0.25,0.0,0.0,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0",0.5,0.0,0.0,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0",0.75,0.0,0.0,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0",1.0,0.0,0.0,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0",1.5,0.0,0.0,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0",2.0,0.0,0.0,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0.35",0.25,0.0,0.35,0.08072263493260885,0.2443360282501626,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0.35",0.5,0.0,0.35,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0.35",0.75,0.0,0.35,0.08072263493260885,0.24433602825016262,10.930046703834428
11,local_only,"local_only: J=0, Gamma=0.35",1.0,0.0,0.35,0.08072263493260887,0.24433602825016262,10.930046703834426
11,local_only,"local_only: J=0, Gamma=0.35",1.5,0.0,0.35,0.08072263493260887,0.24433602825016262,10.930046703834426
11,local_only,"local_only: J=0, Gamma=0.35",2.0,0.0,0.35,0.08072263493260887,0.24433602825016262,10.930046703834426
19,baseline,mean_fill,,,,0.03758970796252644,0.16243595906186786,14.249310483419457
19,baseline,nearest,,,,0.01411743734927126,0.0759180035650624,18.502441309100956
19,baseline,gaussian,,,,0.005744964799230937,0.05603026250845146,22.407126279933806
19,classical_ising,"classical_ising: J=0.25, Gamma=0",0.25,0.25,0.0,0.08175437217904984,0.23468300752190044,10.874890122155591
19,classical_ising,"classical_ising: J=0.25, Gamma=0",0.5,0.25,0.0,0.031254519557950444,0.13898639907523896,15.050871726509456
19,classical_ising,"classical_ising: J=0.25, Gamma=0",0.75,0.25,0.0,0.02403056302502766,0.12552439978990265,16.19236053757141
19,classical_ising,"classical_ising: J=0.25, Gamma=0",1.0,0.25,0.0,0.03109162711728452,0.14344768388082557,15.073565494406534
19,classical_ising,"classical_ising: J=0.25, Gamma=0",1.5,0.25,0.0,0.04737965328029893,0.18372032147834322,13.244081217264638
19,classical_ising,"classical_ising: J=0.25, Gamma=0",2.0,0.25,0.0,0.05807254559052378,0.20637929888151457,12.360291363967272
19,quantum,"quantum: J=0.25, Gamma=0.2",0.25,0.25,0.2,0.06596314257534909,0.2034161061854362,11.806986621448324
19,quantum,"quantum: J=0.25, Gamma=0.2",0.5,0.25,0.2,0.028728658650895293,0.13490823817058833,15.416846508654753
19,quantum,"quantum: J=0.25, Gamma=0.2",0.75,0.25,0.2,0.02436711722956406,0.12624169243198094,16.131958473170286
